src,dst
4,44448
5,4157
5,20690
24045,5
57170,5
7,33556
9,18987
7309,11
6412,11
23618,11
17721,12
13,14588
14,40505
14,20111
14,28718
14,52725
14,31230
14,37057
14,16203
14,49709
14,57327
14,53858
14,51764
56847,14
17,27609
17,2578
20,51425
20,54368
20,7180
20,37159
20,43282
20,11240
20,2038
20,36613
20,689
20,6191
20,24944
20,46847
20,11936
20,9023
20,44060
20,4064
20,11005
19285,21
251,21
22,47907
31282,22
23,20111
23,18669
23,41677
23,45407
23,23804
23,11338
23,1175
23,8485
23,20584
23,32903
23,40692
23,3721
23,29867
23,57327
23,42476
23,56023
5011,23
50067,23
24239,23
57146,23
56700,23
41578,23
15754,23
4009,23
14164,23
55942,23
56847,23
5716,23
27993,26
50214,26
55796,26
56565,26
34415,26
27,12999
27,34212
27,11719
28,45260
29,47572
53861,34
48820,35
29267,37
38,9620
43026,38
90,38
50322,38
40,29207
40,18179
40,11840
40,37912
40,22627
40,49389
41,7925
41,9513
8596,42
48331,45
46,54105
46,29105
52,19144
53,30907
57128,56
57,40052
40052,57
26992,58
4337,60
22365,60
3039,60
43840,60
34995,60
61,31327
62,27674
63,39706
1946,64
21097,64
65,30684
65,57327
65,42492
43873,65
12495,65
41388,65
51500,69
54515,69
55941,72
33661,72
23530,72
54070,72
51616,72
37391,72
55959,72
74,4333
74,40399
74,37057
74,13122
74,37832
74,15440
74,38950
74,8884
74,38140
74,57327
74,14171
45296,74
26230,74
12976,76
80,20862
81,9290
81,32314
81,42481
81,11840
81,23104
81,14387
81,17095
81,34471
81,49316
26194,86
7464,88
55515,88
90,50322
90,38
43026,90
91,53568
92,24821
32900,94
97,56847
97,32051
97,1702
97,49709
97,48020
97,4785
97,39270
97,48472
37222,98
3244,98
102,11784
38328,103
8374,106
55895,106
109,9661
109,16603
111,53858
37761,111
112,35919
112,3941
112,30207
112,45280
112,942
117,28164
117,8766
14527,117
121,33915
121,33479
126,19609
126,40692
126,3201
126,51764
9277,126
41368,127
37203,127
18091,127
128,24210
128,34459
129,28809
131,35520
28822,131
15540,131
25839,131
132,39467
132,787
132,34025
132,56675
132,36354
132,49709
132,16431
132,46556
132,43528
132,8766
132,41405
132,49398
132,38618
132,42492
132,15645
132,30719
132,28563
2924,132
18208,132
40206,132
38961,132
40451,132
134,27924
138,42311
138,5852
139,19621
139,35788
139,7102
139,53698
139,31327
44517,139
35788,139
4329,139
11710,139
140,20192
144,21501
11583,144
147,16268
15127,147
148,36932
150,447
150,23508
153,45976
50476,153
155,21457
157,10150
158,14968
158,57327
158,40635
33209,158
30376,158
16301,158
30516,158
35412,158
756,158
49930,158
20648,158
6007,158
2546,158
1310,158
25371,158
28797,158
159,23442
160,22326
47812,160
14032,160
34236,160
34443,161
163,47288
163,30914
163,43143
163,22761
163,38296
164,43281
165,52389
171,27490
18352,171
173,27986
173,15838
173,53858
27986,173
11029,174
36368,176
178,33512
178,56675
27464,178
39258,178
53274,178
40032,179
46219,179
35193,179
5576,179
55159,179
53552,180
32453,181
182,38352
23621,183
14937,185
34805,185
186,9167
186,19697
186,9472
28305,186
4921,186
7467,186
38995,186
28270,186
36170,186
47986,186
1140,186
801,186
26491,186
12469,186
7702,186
13896,186
